timestamp,value
2025-06-04 22:40:50,19.1
2025-06-04 14:06:56,19.0
2025-06-04 20:29:35,37.6
2025-06-04 04:25:33,6.6
2025-06-04 12:51:26,82.4
2025-06-04 09:39:53,98.5
2025-06-04 12:49:57,73.1
2025-06-04 21:17:31,2.4
2025-06-04 17:09:01,14.9
2025-06-04 12:28:21,41.0
2025-06-04 16:47:05,13.0
2025-06-04 23:41:22,2.9
2025-06-04 13:23:16,50.6
2025-06-04 14:49:17,97.2
2025-06-04 14:53:37,78.2
2025-06-04 11:43:26,89.0
2025-06-04 07:19:45,0.7
2025-06-04 10:52:47,27.1
2025-06-04 06:36:54,57.5
2025-06-04 20:46:36,26.7
2025-06-04 05:53:56,8.4
2025-06-04 21:30:01,51.0
2025-06-04 13:44:20,22.7
2025-06-04 21:42:41,75.2
2025-06-04 13:30:17,98.8
2025-06-04 18:36:57,66.6
2025-06-04 01:28:39,33.1
2025-06-04 13:38:54,83.7
2025-06-04 17:05:02,80.1
2025-06-04 04:41:14,71.0
2025-06-04 07:08:04,54.9
2025-06-04 19:30:48,65.1
2025-06-04 18:01:01,53.5
2025-06-04 02:07:39,99.9
2025-06-04 04:25:11,35.7
2025-06-04 04:06:31,48.5
2025-06-04 16:40:18,28.6
2025-06-04 16:02:22,70.3
2025-06-04 08:23:13,50.3
2025-06-04 08:04:32,79.3
2025-06-04 19:45:42,97.5
2025-06-04 02:26:42,17.2
2025-06-04 18:31:03,26.5
2025-06-04 10:05:57,21.8
2025-06-04 21:28:07,93.5
2025-06-04 17:37:16,16.3
2025-06-04 17:31:20,94.9
2025-06-04 04:05:57,50.0
2025-06-04 16:56:49,8.3
2025-06-04 09:18:20,62.7
2025-06-04 15:02:07,85.8
2025-06-04 05:31:54,64.7
2025-06-04 12:05:47,73.7
2025-06-04 09:50:46,5.4
2025-06-04 06:08:55,8.8
2025-06-04 10:25:17,20.2
2025-06-04 00:40:46,60.9
2025-06-04 10:10:56,12.8
2025-06-04 01:41:32,43.5
2025-06-04 14:23:03,93.6
2025-06-04 08:26:52,78.9
2025-06-04 23:34:41,3.4
2025-06-04 04:52:46,22.2
2025-06-04 02:56:05,59.5
2025-06-04 01:23:50,88.1
2025-06-04 00:42:28,9.8
2025-06-04 19:16:43,92.4
2025-06-04 22:25:38,28.4
2025-06-04 21:59:33,73.0
2025-06-04 19:22:31,7.6
2025-06-04 19:28:25,38.9
2025-06-04 11:01:38,80.6
2025-06-04 19:34:23,73.1
2025-06-04 21:35:46,62.3
2025-06-04 04:47:27,58.6
2025-06-04 16:24:33,98.4
2025-06-04 15:45:33,58.0
2025-06-04 20:57:16,61.9
2025-06-04 12:25:02,52.1
2025-06-04 22:47:58,78.2
2025-06-04 15:21:03,76.8
2025-06-04 21:22:22,8.1
2025-06-04 21:09:19,33.5
2025-06-04 22:19:42,16.1
2025-06-04 18:59:57,12.9
2025-06-04 03:33:29,1.3
2025-06-04 02:16:38,73.3
2025-06-04 03:45:51,84.3
2025-06-04 12:40:39,92.3
2025-06-04 07:29:54,77.5
2025-06-04 14:24:13,76.6
2025-06-04 13:41:20,30.7
2025-06-04 18:18:35,98.4
2025-06-04 04:55:58,42.2
2025-06-04 08:33:37,9.0
2025-06-04 10:53:48,33.9
2025-06-04 16:55:17,97.1
2025-06-04 19:56:08,71.7
2025-06-04 22:43:23,77.8
2025-06-04 16:07:03,41.0
2025-06-04 08:11:47,4.8
2025-06-04 20:49:01,99.0
2025-06-04 20:40:38,6.3
2025-06-04 21:26:40,82.4
2025-06-04 23:21:54,67.4
2025-06-04 18:20:37,21.9
2025-06-04 20:22:49,18.3
2025-06-04 02:53:05,59.7
2025-06-04 12:55:07,29.5
2025-06-04 16:33:15,35.0
2025-06-04 02:37:12,11.3
2025-06-04 03:28:32,26.8
2025-06-04 20:14:23,82.2
2025-06-04 06:31:32,33.0
2025-06-04 19:19:21,45.9
2025-06-04 14:48:16,95.4
2025-06-04 11:31:22,61.3
2025-06-04 09:02:21,2.6
2025-06-04 11:47:34,46.9
2025-06-04 17:48:58,32.2
2025-06-04 12:11:52,23.6
2025-06-04 05:03:07,92.6
2025-06-04 07:43:39,71.9
2025-06-04 06:09:33,26.3
2025-06-04 07:10:30,6.4
2025-06-04 07:20:54,2.4
2025-06-04 17:14:18,73.8
2025-06-04 03:11:49,4.6
2025-06-04 19:18:49,24.7
2025-06-04 19:10:40,65.4
2025-06-04 12:42:32,77.2
2025-06-04 04:01:32,47.2
2025-06-04 16:09:32,43.8
2025-06-04 10:10:54,39.2
2025-06-04 19:32:54,36.4
2025-06-04 22:52:35,99.2
2025-06-04 05:03:55,4.8
2025-06-04 01:35:54,9.7
2025-06-04 03:25:50,24.9
2025-06-04 07:46:15,63.3
2025-06-04 11:54:12,45.1
2025-06-04 20:05:57,95.0
2025-06-04 19:29:46,26.5
2025-06-04 14:37:56,64.1
2025-06-04 14:09:23,91.1
2025-06-04 11:42:49,95.4
2025-06-04 00:41:26,54.5
2025-06-04 09:49:29,50.1
2025-06-04 17:58:31,79.6
2025-06-04 08:35:26,45.7
2025-06-04 07:34:45,47.5
2025-06-04 02:47:16,89.7
2025-06-04 17:18:27,71.7
2025-06-04 16:35:34,13.4
2025-06-04 04:39:43,8.4
2025-06-04 20:30:39,67.5
2025-06-04 17:36:33,34.3
2025-06-04 15:59:28,62.4
2025-06-04 11:26:44,20.0
2025-06-04 02:05:23,27.9
2025-06-04 07:35:58,70.6
2025-06-04 18:24:48,37.9
2025-06-04 20:50:59,5.4
2025-06-04 14:54:19,73.0
2025-06-04 19:44:02,67.4
2025-06-04 12:59:18,60.4
2025-06-04 05:45:47,65.0
2025-06-04 05:23:02,57.1
2025-06-04 06:29:49,36.7
2025-06-04 07:33:57,1.8
2025-06-04 18:33:14,31.8
2025-06-04 23:54:28,28.2
2025-06-04 18:36:54,27.4
2025-06-04 04:32:51,67.0
2025-06-04 17:22:20,67.1
2025-06-04 01:07:28,20.6
2025-06-04 23:21:19,19.5
2025-06-04 10:31:57,48.3
2025-06-04 11:27:04,30.2
2025-06-04 04:32:18,56.6
2025-06-04 14:55:37,33.7
2025-06-04 18:45:05,37.0
2025-06-04 17:39:03,56.6
2025-06-04 11:36:58,66.6
2025-06-04 22:06:45,85.9
2025-06-04 18:28:22,88.3
2025-06-04 00:55:33,4.4
2025-06-04 05:50:58,59.7
2025-06-04 08:27:36,41.9
2025-06-04 02:29:18,31.6
2025-06-04 22:30:26,74.8
2025-06-04 14:45:49,89.3
2025-06-04 00:41:54,33.5
2025-06-04 19:18:47,88.6
2025-06-04 11:41:27,4.6
2025-06-04 08:12:08,29.4
2025-06-04 22:56:48,94.3
2025-06-04 06:27:33,69.0
2025-06-04 16:25:07,75.1
2025-06-04 21:08:22,36.3
2025-06-04 12:01:19,25.0
2025-06-04 16:55:07,61.1
