timestamp,value
2025-06-15 19:58:14,3.7
2025-06-15 08:30:23,3.9
2025-06-15 06:24:44,72.2
2025-06-15 13:46:04,38.0
2025-06-15 07:38:10,50.6
2025-06-15 00:17:44,72.8
2025-06-15 19:08:30,0.1
2025-06-15 19:27:35,21.8
2025-06-15 21:23:32,25.3
2025-06-15 21:56:22,0.7
2025-06-15 18:32:43,75.7
2025-06-15 12:45:08,13.3
2025-06-15 12:05:02,48.8
2025-06-15 03:00:32,39.1
2025-06-15 06:57:14,76.0
2025-06-15 02:43:57,17.8
2025-06-15 01:27:38,83.9
2025-06-15 18:12:15,81.1
2025-06-15 12:07:28,56.5
2025-06-15 04:45:16,2.2
2025-06-15 15:16:13,17.0
2025-06-15 09:51:30,35.9
2025-06-15 17:41:08,94.7
2025-06-15 06:28:58,58.1
2025-06-15 15:17:09,69.0
2025-06-15 06:18:19,44.8
2025-06-15 00:27:32,29.1
2025-06-15 11:00:46,60.8
2025-06-15 21:29:34,34.5
2025-06-15 08:23:54,39.8
2025-06-15 13:46:58,17.5
2025-06-15 09:06:32,10.0
2025-06-15 04:21:00,45.6
2025-06-15 18:03:58,28.1
2025-06-15 04:37:16,1.3
2025-06-15 21:08:34,36.7
2025-06-15 21:19:36,9.8
2025-06-15 09:59:48,14.1
2025-06-15 13:49:42,36.2
2025-06-15 05:48:17,36.5
2025-06-15 21:33:29,83.0
2025-06-15 22:49:16,90.3
2025-06-15 11:45:07,47.3
2025-06-15 02:27:52,26.1
2025-06-15 17:57:50,78.9
2025-06-15 22:09:51,28.3
2025-06-15 16:23:25,59.2
2025-06-15 08:28:30,95.5
2025-06-15 07:21:30,49.5
2025-06-15 10:12:44,51.2
2025-06-15 00:54:02,15.5
2025-06-15 06:32:15,65.7
2025-06-15 00:46:34,93.3
2025-06-15 16:44:17,70.7
2025-06-15 16:38:28,43.1
2025-06-15 16:49:05,49.9
2025-06-15 16:42:52,98.6
2025-06-15 11:50:35,20.6
2025-06-15 17:33:49,36.6
2025-06-15 11:38:12,95.6
2025-06-15 13:25:55,63.2
2025-06-15 03:24:39,0.1
2025-06-15 23:19:26,18.7
2025-06-15 17:47:26,96.8
2025-06-15 17:03:30,97.4
2025-06-15 17:47:59,29.9
2025-06-15 14:18:44,43.2
2025-06-15 22:08:17,77.8
2025-06-15 09:38:08,93.9
2025-06-15 15:58:39,53.5
2025-06-15 03:14:12,42.4
2025-06-15 08:16:47,88.9
2025-06-15 07:34:20,28.6
2025-06-15 11:03:24,3.4
2025-06-15 21:43:44,5.0
2025-06-15 15:14:02,99.9
2025-06-15 02:53:48,92.3
2025-06-15 19:44:08,91.0
2025-06-15 14:12:53,18.1
2025-06-15 08:48:07,1.9
2025-06-15 01:15:57,6.2
2025-06-15 01:36:11,24.3
2025-06-15 03:15:11,4.6
2025-06-15 09:31:30,70.1
2025-06-15 19:13:56,96.3
2025-06-15 20:01:34,62.7
2025-06-15 07:46:39,90.0
2025-06-15 17:42:01,67.0
2025-06-15 13:38:52,61.7
